Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
DHR,Fortress,230.4,47.51,Healthcare,4.89,6.96,20.75,24.05,1.519,17.71,164.98
CAT,Fortress,598.41,29.41,Industrials,4.85,25.02,17.75,16.96,1.384,27.12,280.34
ON,Fortress,56.7,77.67,Technology,4.85,14.89,18.5,27.98,5.231,30.49,23.19
HSY,Fortress,182.41,27.23,Consumer Defensive,4.84,29.37,13.54,23.4,1.363,15.19,36.99
XYL,Fortress,137.11,35.34,Industrials,4.71,7.99,15.65,11.39,1.957,25.7,33.38
WLTH,Fortress,13.22,0.0,Technology,4.7,54.22,43.44,38.49,1.81,50.55,1.93
SWKS,Fortress,64.395,20.91,Technology,4.69,8.4,10.23,21.06,2.325,20.44,9.65
TTD,Fortress,37.68,42.82,Communication Services,4.69,13.19,21.8,11.35,1.71,100.0,18.42
ATI,Fortress,119.2,38.45,Industrials,4.64,15.17,15.11,9.69,2.502,4.91,16.43
VLO,Fortress,165.31,34.44,Energy,4.6,9.53,5.53,5.47,1.596,7.65,51.35
NUE,Fortress,169.4,23.76,Basic Materials,4.58,10.81,10.42,19.62,2.774,13.73,38.77
CDE,Fortress,17.55,24.72,Basic Materials,4.55,8.89,33.28,8.68,1.999,3.58,11.27
ALGN,Fortress,156.03,30.3,Healthcare,4.52,16.08,15.67,19.0,1.289,100.0,11.31
MGY,Fortress,22.48,12.15,Energy,4.5,20.06,31.23,50.75,1.472,35.32,4.29
SMCI,Fortress,30.96,24.38,Technology,4.5,10.89,3.63,7.73,5.394,21.34,18.48
AS,Fortress,37.5,68.18,Consumer Cyclical,4.48,5.6,12.87,7.29,1.511,1.74,20.8
CGAU,Fortress,14.14,8.78,Basic Materials,4.48,8.84,34.06,13.73,2.888,160.69,2.86
URBN,Fortress,75.34,14.24,Consumer Cyclical,4.46,14.7,9.57,7.39,1.509,83.41,6.76
KO,Fortress,69.12,22.89,Consumer Defensive,4.43,19.58,32.37,28.75,1.211,8.9,297.47
TMO,Fortress,592.51,34.19,Healthcare,4.4,10.03,19.28,20.02,1.498,6.06,222.61
DKS,Fortress,200.22,16.32,Consumer Cyclical,4.39,21.31,5.56,12.61,1.572,29.67,18.01
NKE,Fortress,63.28,37.01,Consumer Cyclical,4.39,14.23,8.09,11.53,2.063,100.0,93.54
RAL,Fortress,51.22,31.62,Technology,4.38,9.44,9.83,21.59,1.488,100.0,5.78
FIVE,Fortress,193.45,34.67,Consumer Cyclical,4.37,9.04,4.17,10.93,1.605,,10.67
GLW,Fortress,90.67,58.12,Technology,4.34,5.01,14.56,10.21,1.556,3.47,77.74
MRK,Fortress,106.45,14.08,Healthcare,4.26,23.91,40.8,23.59,1.661,16.69,265.89
MWA,Fortress,23.94,19.62,Industrials,4.23,17.64,20.35,13.99,3.544,14.38,3.74
AMKR,Fortress,42.92,31.79,Technology,4.2,9.04,8.0,9.82,1.773,7.64,10.61
JHX,Fortress,20.81,47.3,Basic Materials,4.2,15.53,11.96,22.3,1.793,16.74,12.06
HOLX,Fortress,74.56,29.94,Healthcare,4.15,9.93,32.74,23.67,3.754,6.82,16.63
AEO,Fortress,26.36,23.33,Consumer Cyclical,4.12,15.09,8.26,8.18,1.634,,4.47
BAH,Fortress,84.89,12.94,Industrials,4.1,25.78,9.79,8.49,1.756,7.42,10.46
GNRC,Fortress,141.1,26.03,Industrials,4.08,12.25,9.25,13.59,2.183,5.56,8.28
LEN,Fortress,104.22,13.06,Consumer Cyclical,4.08,12.29,7.88,17.17,12.398,100.0,25.74
MAS,Fortress,64.47,16.49,Industrials,4.07,36.46,15.81,15.49,1.878,12.73,13.5
FLS,Fortress,70.75,20.57,Industrials,4.05,11.29,13.6,7.35,2.103,6.57,9.25
TOL,Fortress,135.58,10.05,Consumer Cyclical,4.04,15.08,17.67,16.61,4.108,,13.07
SOLS,Fortress,49.28,49.78,Basic Materials,4.01,19.1,17.65,23.23,1.532,5.03,7.82
STM,Fortress,27.37,44.87,Technology,4.01,9.36,6.62,20.51,3.223,23.09,24.32
EOG,Fortress,107.27,10.65,Energy,4.0,19.98,33.22,40.18,1.624,60.55,58.57
NVT,Fortress,106.82,59.34,Industrials,4.0,9.02,16.03,15.69,1.574,5.05,17.24
PPG,Fortress,104.35,18.67,Basic Materials,3.98,14.52,14.16,11.92,1.465,8.68,23.55
GD,Fortress,343.4,22.27,Industrials,3.97,12.96,10.46,10.4,1.4,12.55,92.76
G,Fortress,45.91,14.81,Technology,3.92,18.8,15.86,13.53,1.514,9.51,8.0
IAG,Fortress,16.22,28.46,Basic Materials,3.92,20.2,35.3,7.83,1.684,374.85,9.62
FSM,Fortress,9.54,11.36,Basic Materials,3.86,12.97,64.23,18.55,3.298,8.31,2.93
YUMC,Fortress,48.17,19.99,Consumer Cyclical,3.86,13.58,12.6,8.82,1.32,100.0,17.08
DRS,Fortress,34.78,35.13,Industrials,3.85,9.29,9.79,11.57,2.002,13.57,9.26
TMHC,Fortress,58.83,7.09,Consumer Cyclical,3.85,14.21,14.59,14.71,7.988,,5.75
RHI,Fortress,27.34,17.75,Industrials,3.81,15.39,1.0,9.1,1.55,100.0,2.78
COO,Fortress,81.11,43.37,Healthcare,3.8,5.91,13.54,16.25,1.893,6.66,16.13
OPCH,Fortress,32.24,25.59,Healthcare,3.8,12.59,5.89,6.35,1.557,6.78,5.23
ACMR,Fortress,44.88,26.09,Technology,3.76,14.03,10.75,16.64,3.479,41.06,2.91
PPC,Fortress,39.87,7.73,Consumer Defensive,3.76,19.43,10.4,5.15,1.512,9.76,9.47
B,Fortress,44.08,21.19,Basic Materials,3.74,11.18,49.01,30.18,2.944,11.89,75.37
TPR,Fortress,129.07,97.78,Consumer Cyclical,3.72,6.0,21.21,17.6,1.525,3.53,26.72
PCAR,Fortress,111.56,21.87,Industrials,3.66,16.07,9.92,13.51,5.69,100.0,58.59
CRH,Fortress,126.44,25.29,Basic Materials,3.63,13.21,18.0,12.3,1.453,8.7,84.6
CROX,Fortress,86.95,30.19,Consumer Cyclical,3.58,25.05,20.84,26.13,1.404,9.33,4.75
CNM,Fortress,53.41,23.43,Industrials,3.56,14.37,10.67,10.21,2.265,5.06,10.54
FOXA,Fortress,73.76,16.43,Communication Services,3.56,17.07,26.32,18.62,3.238,8.6,32.75
RIO,Fortress,81.43,12.97,Basic Materials,3.52,18.94,25.05,34.74,1.526,10.59,133.01
FOX,Fortress,65.96,14.59,Communication Services,3.47,17.07,26.32,18.62,3.238,8.6,31.06
HAL,Fortress,29.6,19.6,Energy,3.46,18.86,12.86,15.52,1.955,8.19,25.24
HRL,Fortress,23.39,26.89,Consumer Defensive,3.46,6.17,7.22,8.74,2.466,9.5,12.87
IR,Fortress,79.76,59.08,Industrials,3.45,8.31,20.48,16.28,2.162,6.31,31.7
