Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
NTAP,Fortress,106.47,18.55,Technology,2.48,23.49,24.75,19.79,1.341,22.61,21.25
TEX,Fortress,55.03,23.32,Industrials,2.48,10.67,10.45,10.14,2.151,5.58,3.61
APTV,Fortress,78.44,57.68,Consumer Cyclical,2.46,13.58,11.44,8.66,1.793,7.38,17.08
ITGR,Fortress,76.78,32.26,Healthcare,2.46,7.01,14.28,11.36,3.709,3.82,2.69
MBC,Fortress,11.28,17.9,Consumer Cyclical,2.46,9.56,8.5,9.4,1.865,3.27,1.43
VAL,Fortress,52.15,9.33,Energy,2.45,12.16,21.14,6.86,1.871,5.37,3.71
WIT,Fortress,2.92,20.86,Technology,2.44,18.42,16.42,15.98,2.256,19.92,30.81
RDY,Fortress,13.86,17.77,Healthcare,2.43,21.96,18.45,21.57,1.852,28.14,11.59
LW,Fortress,42.29,15.16,Consumer Defensive,2.42,11.24,9.47,13.91,1.433,3.7,5.89
AXTA,Fortress,33.0,15.79,Basic Materials,2.4,11.89,15.76,10.96,2.199,3.42,7.04
EMN,Fortress,64.34,10.74,Basic Materials,2.4,10.35,9.67,13.92,1.756,5.99,7.39
HAYW,Fortress,15.77,25.44,Industrials,2.4,7.92,16.92,21.39,3.184,3.12,3.42
RPRX,Fortress,38.86,22.08,Healthcare,2.39,9.17,70.27,56.05,3.484,6.9,22.66
AKAM,Fortress,85.1,24.96,Technology,2.38,7.42,15.74,19.34,2.281,22.65,12.24
EGO,Fortress,35.42,19.46,Basic Materials,2.38,8.4,39.69,19.59,2.794,22.64,7.15
JBI,Fortress,6.65,19.0,Industrials,2.38,12.87,13.91,17.57,3.027,3.02,0.92
CVE,Fortress,17.53,13.91,Energy,2.36,9.6,11.0,10.14,1.729,7.27,33.07
NWSA,Fortress,26.19,31.55,Communication Services,2.35,7.41,10.45,9.72,1.763,,15.29
VRRM,Fortress,22.33,65.68,Technology,2.35,10.82,28.56,23.04,2.448,2.07,3.56
SHEL,Fortress,75.44,15.4,Energy,2.33,11.89,11.35,11.33,1.352,7.16,214.93
GTES,Fortress,22.06,24.24,Industrials,2.3,7.6,14.94,13.28,3.523,3.47,5.7
OC,Fortress,114.15,0.0,Industrials,2.3,9.58,18.07,16.36,1.396,5.32,9.55
BKR,Fortress,47.14,16.26,Energy,2.25,13.65,13.52,9.78,1.409,17.49,46.52
LYB,Fortress,44.39,0.0,Basic Materials,2.24,7.18,6.04,10.45,1.57,4.33,14.29
MT,Fortress,47.2,13.88,Basic Materials,2.23,5.07,4.09,10.7,1.386,6.72,35.9
HMY,Fortress,19.57,14.18,Basic Materials,2.21,23.66,29.67,11.37,1.72,15.79,12.22
ESI,Fortress,25.94,26.2,Basic Materials,2.19,7.65,15.36,12.53,4.051,6.11,6.28
PLNT,Fortress,109.73,44.97,Consumer Cyclical,2.19,12.44,32.57,25.47,2.082,3.47,9.24
NOK,Fortress,6.51,34.26,Technology,2.17,8.71,6.94,8.33,1.478,7.39,36.89
MPLX,Fortress,53.87,11.32,Energy,2.16,15.49,38.35,40.8,1.312,5.63,54.9
SXC,Fortress,7.33,9.77,Basic Materials,2.16,10.39,4.21,7.86,2.124,6.49,0.62
ETSY,Fortress,57.28,38.7,Consumer Cyclical,2.11,24.22,12.2,15.31,3.174,30.75,5.68
AM,Fortress,17.94,18.31,Energy,2.07,13.35,57.81,56.12,1.259,3.65,8.58
SU,Fortress,45.59,14.16,Energy,2.06,11.24,19.35,17.96,1.348,12.8,55.5
TME,Fortress,17.86,18.04,Communication Services,2.06,11.96,29.13,16.63,2.085,71.26,30.08
ZIM,Fortress,21.91,2.64,Industrials,2.04,30.45,14.83,21.0,1.304,5.71,2.64
WB,Fortress,10.54,6.02,Communication Services,2.03,9.5,26.53,28.17,3.346,4.99,2.6
DEO,Fortress,87.09,20.59,Consumer Defensive,1.98,12.02,27.33,26.69,1.633,4.2,48.41
DAR,Fortress,37.64,56.18,Consumer Defensive,1.97,5.55,7.87,8.93,1.488,1.97,5.95
PFE,Fortress,25.18,14.64,Healthcare,1.96,6.52,35.28,23.01,1.282,3.6,143.17
MOMO,Fortress,6.79,11.13,Communication Services,1.89,16.3,13.0,15.07,5.205,15.28,1.09
AVTR,Fortress,11.46,0.0,Healthcare,1.88,10.61,8.48,12.48,1.488,4.9,7.81
SLGN,Fortress,41.25,13.75,Consumer Cyclical,1.87,8.11,10.25,10.21,1.27,3.09,4.41
ZTO,Fortress,21.46,13.94,Industrials,1.87,18.75,20.27,23.15,1.378,35.55,16.89
GGB,Fortress,3.78,14.0,Basic Materials,1.86,8.24,8.73,17.38,2.704,7.86,7.47
SEE,Fortress,41.52,15.43,Consumer Cyclical,1.86,13.86,15.96,15.63,1.288,2.59,6.11
BABA,Fortress,155.74,20.82,Consumer Cyclical,1.83,12.06,2.17,12.72,1.456,17.2,371.6
JAZZ,Fortress,173.15,0.0,Healthcare,1.82,6.46,22.33,13.24,1.652,2.98,10.52
DOW,Fortress,24.27,0.0,Basic Materials,1.79,5.13,1.91,8.38,1.944,2.97,17.25
OLN,Fortress,21.55,46.85,Basic Materials,1.78,5.49,5.29,14.28,1.559,1.77,2.47
WES,Fortress,39.72,11.75,Energy,1.78,17.42,46.06,41.51,1.432,5.46,16.21
GPRK,Fortress,7.29,11.05,Energy,1.75,33.49,25.9,45.1,2.63,7.68,0.38
GPK,Fortress,15.15,8.96,Consumer Cyclical,1.72,12.08,11.69,11.15,1.545,4.85,4.49
CNH,Fortress,9.35,19.08,Industrials,1.71,10.91,3.36,18.47,5.181,1.9,11.7
CXW,Fortress,19.02,19.02,Industrials,1.65,6.02,9.34,10.46,1.41,2.36,2.04
SHC,Fortress,17.69,88.45,Healthcare,1.64,9.67,40.56,26.43,2.384,1.69,5.03
FRO,Fortress,20.58,21.0,Energy,1.62,14.32,20.8,25.9,1.369,2.66,4.58
BIDU,Fortress,150.3,13.5,Communication Services,1.61,9.07,3.52,13.38,1.907,11.14,52.4
NE,Fortress,29.0,20.86,Energy,1.61,8.6,14.13,20.77,1.751,5.41,4.61
