Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
ENR,Fortress,19.93,6.0,Industrials,1.41,11.65,16.15,13.53,2.112,2.84,1.37,2.42857,24.28571,21.86
MPC,Fortress,165.14,17.57,Energy,3.33,12.52,4.97,6.44,1.315,5.55,50.21,2.15789,200.66667,21.51
HON,Fortress,195.88,20.66,Industrials,3.34,15.33,18.5,18.84,1.358,7.82,132.0,2.07407,236.60667,20.79
DEO,Fortress,87.09,20.59,Consumer Defensive,1.98,12.02,27.33,26.69,1.633,4.2,48.41,2.375,105.16667,20.76
TT,Fortress,398.0,30.43,Industrials,6.51,24.72,20.22,15.86,1.205,14.6,88.56,2.41667,480.17633,20.65
YUMC,Fortress,48.17,19.99,Consumer Cyclical,3.86,13.58,12.6,8.82,1.32,100.0,17.08,1.33333,58.05955,20.53
IMAX,Fortress,36.02,50.73,Communication Services,3.07,7.38,27.25,7.82,3.942,5.66,1.94,1.36364,43.18182,19.88
ATAT,Fortress,39.87,26.4,Consumer Cyclical,2.99,34.11,24.79,14.65,2.157,553.74,5.51,1.21053,47.61817,19.43
MAT,Fortress,20.04,15.18,Consumer Cyclical,3.2,14.18,22.18,12.26,1.598,6.24,6.46,1.64286,23.91667,19.34
PLNT,Fortress,109.73,44.97,Consumer Cyclical,2.19,12.44,32.57,25.47,2.082,3.47,9.24,1.44444,130.41176,18.85
GMAB,Fortress,31.82,13.48,Healthcare,11.76,22.92,44.91,35.78,6.034,77.37,19.73,1.5,37.81429,18.84
SOLS,Fortress,49.28,49.78,Basic Materials,4.01,19.1,17.65,23.23,1.532,5.03,7.82,2.16667,58.5,18.71
ALC,Fortress,77.6,37.67,Healthcare,3.25,5.16,12.85,9.99,2.118,7.54,38.26,1.78571,92.09529,18.68
DKS,Fortress,200.22,16.32,Consumer Cyclical,4.39,21.31,5.56,12.61,1.572,29.67,18.01,2.07407,237.5,18.62
SBLK,Fortress,19.37,41.21,Industrials,1.33,10.78,14.1,37.16,1.725,4.28,2.21,1.75,22.975,18.61
MGY,Fortress,22.48,12.15,Energy,4.5,20.06,31.23,50.75,1.472,35.32,4.29,2.11111,26.58824,18.28
WYNN,Fortress,122.57,27.18,Consumer Cyclical,1.38,11.64,16.93,5.65,1.757,1.93,12.74,1.26316,144.5,17.89
NXPI,Fortress,221.28,27.32,Technology,3.35,16.43,28.24,26.82,2.375,8.79,55.79,1.53125,260.66876,17.8
TCOM,Fortress,74.49,20.13,Consumer Cyclical,1.22,11.12,30.4,13.53,1.485,10.8,48.69,1.3,86.78836,16.51
HRL,Fortress,23.39,26.89,Consumer Defensive,3.46,6.17,7.22,8.74,2.466,9.5,12.87,2.5,27.25,16.5
TEL,Fortress,233.22,37.8,Technology,5.37,16.44,19.77,18.3,1.556,42.61,68.7,1.66667,271.52942,16.43
ABT,Fortress,124.19,15.6,Healthcare,5.64,11.26,19.39,17.78,1.703,13.55,216.15,1.71429,144.4292,16.3
COP,Fortress,96.7,13.66,Energy,2.87,13.36,19.54,27.22,1.323,13.34,120.77,1.72414,112.29964,16.13
PNR,Fortress,105.47,26.84,Industrials,5.25,14.55,23.98,17.83,1.462,9.11,17.29,1.85,122.0,15.67
J,Fortress,135.35,52.46,Industrials,3.03,8.72,10.52,6.24,1.301,4.73,16.07,2.0,156.53333,15.65
AEM,Fortress,170.45,24.96,Basic Materials,6.35,10.21,53.1,29.01,2.12,33.63,85.57,1.75,197.08333,15.63
MDT,Fortress,96.05,26.03,Healthcare,2.92,8.07,20.3,18.47,2.415,8.72,123.2,2.09677,110.968,15.53
FERG,Fortress,225.02,22.78,Industrials,5.31,22.33,9.5,9.25,1.878,13.75,45.18,1.84,259.77274,15.44
FSM,Fortress,9.54,11.36,Basic Materials,3.86,12.97,64.23,18.55,3.298,8.31,2.93,2.5,11.0,15.3
ALGN,Fortress,156.03,30.3,Healthcare,4.52,16.08,15.67,19.0,1.289,100.0,11.31,2.16667,179.8,15.23
KO,Fortress,69.12,22.89,Consumer Defensive,4.43,19.58,32.37,28.75,1.211,8.9,297.47,1.625,79.6087,15.17
